item name,price(KES),price(USD)
Cube CBT43S 43 Inch Smart TV - Black (2YRs WRTY),17999.0,139.31
"Lyons 50 Inch 4K UHD Android TV, Dolby Vision, Bluetooth, WiFi, Frameless, 1 Year Warranty",27810.0,215.25
"Skyworth 55Q6500H, 55"" 4K QLED Smart Google TV, Black (1YR WRTY)",43100.0,333.59
"Lyons LST5003W 50"" inch Smart Android Frameless TV - Black (1YR WRTY)",27000.0,208.98
"Skyworth 43Q5600H , 43"" 2K QLED Google TV - Black (1YR WRTY)",25999.0,201.23
"Samsung A06 6.7"" Display, 128GB ROM + 4GB RAM (Dual Sim)50MP Camera,4G Nertwork, 5000mAh - black + Travel adapter",15999.0,123.83
Sonar SR-A3 Hot & Normal Water Dispenser - Plastic - 300x290x840mm - Black plus 3 cups free gift,1999.0,15.47
Rashnik RN – 1141 Cordless Kettle 2.2 Liters   -Green.,620.0,4.8
"Glamstar GBL-358-D, 2-IN-1, 1.75L Blender (1YR WRNTY).",1599.0,12.38
"Rashnik Rn-4077 (Single Hot Plate,power 1000w) - Black",950.0,7.35
Istanbul 2 Modern TV Stand With LED Bulb - White & Black,4389.0,33.97
"AILYONS 5L, 900W Electric Pressure Cooker",4150.0,32.12
"Glamstar GFR-120S-M, 90L Single Door Fridge (1YR WRNTY).",13299.0,102.93
"Vitron HTC3288QS 32 Inch QLED Smart Android TV with Digital TV, Android 14, Frameless Design, Bluetooth Enabled, Wi-Fi Connectivity, Netflix & YouTube+FREE GIFTS",13399.0,103.71
"Vitron 43""Inches QLED FHD Smart Android TV, Frameless Ultra-Slim Screen, Bluetooth Enabled, Inbuilt Digital Decoder, ICAST Screen Mirroring, Wi-Fi Connectivity, Netflix & YouTube",20999.0,162.53
Euroken  EURO55-3+1-E THREE BURNER + 1 HOT PLATE  50X55  BLACK STANDING COOKER WITH ELECTRIC OVEN,15600.0,120.74
"Samsung Galaxy A06 - 6.7"" Display, 4GB RAM, 64GB Storage, 50MP Camera, 5000mAh Battery",13999.0,108.35
"Samsung Galaxy A17, 6.7'' HD+ Display, 4GB RAM + 128GB Storage (Dual Sim), 50MP Camera, 5000mAh Battery - black",20000.0,154.8
"Samsung Galaxy A07, 128GB + 4GB RAM (Dual Sim) 50MP Camera, 5000mAh Battery -BLACK",17990.0,139.24
"Vision Plus 12KG Twin Tub Top Load Washing Machine – Turbo Dry, Rodent Protection, Washes Duvets & Blankets, Low Power, White & Blue (2YRS WRTY)",27280.0,211.15
"Samsung  Galaxy A16, 4GB+128GB ROM 6.7"" HD, Android 14,50MP-Camera, Battery-5000mah, WATCH, ADPTER, PHONE COVER, BLACK",18699.0,144.73
"Infinix smart 20, 6.67"", Up to 8GB RAM + 128GB (Dual SIM), 5200 mAh, 4G - Black (1YR WRTY)",16160.0,125.08
"Redmi 15C Xiaomi Smartphone, 6.9"", 8GB Extended RAM (4+4)+ 128GB, 6000mAh - Black (1 R WRTY)",15330.0,118.65
"Infinix smart 20, 6.67"", Up to 8GB RAM + 64GB (Dual SIM), 5200 mAh, 4G - Black (1YR WRTY) SILVER",13999.0,108.35
"Samsung  Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh, Black",18399.0,142.41
"Tecno Spark 50, 6.78''120Hz Display, 128GB ROM+4GB RAM (+8GB Extended), 50MP FlashSnap (4G-Dual Sim), 6700mAh-Ink Black",18999.0,147.05
"Redmi 15C By Xiaomi, 6.9"", UPTO 8GB Extended RAM + 128GB, 6000mAh (Dual SIM) - Black (1 YRWRTY) + LED Watch +EarPods +Power bank",16999.0,131.57
"Samsung GALAXY A16, 6.7"" HD+, 4GB RAM + 128GB, DUAL SIM, 50MP, 5000mAh, BLACK + FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK )",18819.0,145.66
"Redmi 15C By Xiaomi, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",20199.0,156.34
"Tecno Camon 50 Pro - 6.78"" AMOLED, 256GB Storage, 8GB RAM, 4G, MediaTek Helio G200, 6150mAh Battery-Moonshadow Black",41999.0,325.07
"Samsung Galaxy A07 4G, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY)",13999.0,108.35
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",14699.0,113.77
"Samsung  Galaxy A16, 4GB RAM + 128GB ROM  6.7"", Android 14,5000mAh - Light Gray",18399.0,142.41
"XIAOMI Redmi Note 15, 6.8"", 6GB RAM + 128GB, 6000mAh, Black (25 Months Warranty)",26399.0,204.33
Ruioo RUIOO S25 Ultra Android Smartphone 8GB + 128GB 6.8 inches,10050.0,77.79
"Vitron HTC3288QS, 32"" INCH SMART ANDROID QLED HD TV,BLUETOOTH ENABLED,WIFI ENABLED,NETFLIX,YOUTUBE, ICAST FRAMELESS SCREEN-BLACK (1 YR WARRANTY) + 7 FREE GIFTS",14095.0,109.1
"Redmi 15C By Xiaomi Smartphone, 6.88"", 8GB RAM (4+4GB) +128GB, 5000mAh + I12 WATCH (1 TR WRTY), BLACK",15799.0,122.28
Istanbul 2 Modern TV Stand With LED Bulb - White & Black,4389.0,33.97
"Vitron HTC3288QS 32 Inch QLED Bluetooth Smart Android TV with Inbuilt Wi-Fi , Decoder, Netflix ,YouTube, App Store, ICAST/MIRRORING SCREEN +  TV Guard +Extension +Wall Bracket - Black (1 YR WRTY)",13295.0,102.9
"Vitron HTC3288QS, 32"" SMART ANDROID QLED HD TV,BLUETOOTH ENABLED,WIFI ENABLED,NETFLIX,YOUTUBE, ICAST FRAMELESS SCREEN-BLACK (1 YR WARRANTY)+6 FREE ACCESSORIES",13495.0,104.45
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh + Free Gifts - Grey",18850.0,145.9
"Vitron HTC4300QFS, 43"" INCH SMART ANDROID QLED FULL HD TV,BLUETOOTH ENABLED,WIFI ENABLED,NETFLIX,YOUTUBE, ICAST FRAMELESS SCREEN-BLACK (1 YR WARRANTY) + 7 FREE GIFTS",21295.0,164.82
"Vitron HTC4300QFS 43"" inch TV QLED TV, Bluetooth Enabled, Smart Android Digital Full HD TV, Inbuilt Decoder, Cast Screen Mirroring, Wi-Fi Enabled, Netflix, YouTube Television, App Store (1 YR WRTY) +FREE TV GUARD+ WALL BRACKET + EXTENSION CABLE",20695.0,160.18
"XIAOMI Redmi Note 15, 6.77"" Curved Screen, 8GB RAM + 256GB, 6000mAh Battery, Black (25 Months Warranty) - Black + LED Watch, Earpods & Power bank",30599.0,236.84
"Samsung GALAXY A17, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  WATCH ADAPTER, BLACK",21099.0,163.31
"Redmi 15C By Xiaomi, 6.9"", UPTO 8GB Extended RAM + 128GB, 6000mAh (Dual SIM) - Black (1 YRWRTY) + LED Watch +EarPods +Power bank",16999.0,131.57
"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - BLACK + LED Watch",4399.0,34.05
"Vitron HTC3288QS 32"" Inch Smart Android 14.0 QLED TV Digital TV Bluetooth Enabled Inbuilt Wi-Fi Enabled inbuilt Decoder for Local Channels, Netflix ,YouTube, App Store, ICAST/MIRRORING SCREEN+ Free Wall Mounting Bracket - Black (1 YR WRTY)",12795.0,99.03
"Samsung  Galaxy A16, 4GB RAM + 128GB ROM  6.7"", Android 14,5000mAh - Light Gray",18399.0,142.41
Eurochef  EGT55-3G1E-E  Stand Cooker With 3 Gas Burners + 1 Hot plate With Electric Oven 50x55cm,16599.0,128.48
"Simfer F6311SEGR 3 Gas + 1 Electric Cooker, 60x60 - Silver (1YR WRTY)",36995.0,286.34
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),23999.0,185.75
Ramtons TWIN TUB SEMI AUTOMATIC 10KG WASHER - RW/215,26500.0,205.11
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",24999.0,193.49
GNIX 1 Door Fridge-Freezer 90litres Defrost,15399.0,119.19
Roch Chest Freezer 145 Litres,25499.0,197.36
VON VALS-75BWY Twin Tub Washing Machine - 7.5Kg (1YR WRTY),16850.0,130.42
Haier 10kg Semi Auto Washing Machine Twin Tub - HTW100-M1217  (2YRs WRTY),28995.0,224.42
Roch Refrigerator 168 Litres Defrost RFR-210-DT-I (5YR WRTY).,29399.0,227.55
K-Elec Single door 90L Refrigerator Model KR14-SDC-KSC (36Months Warranty),14999.0,116.09
Glamstar Gas Cooker 50*50 3+1 (1YR WRNTY).,14999.0,116.09
Hisense REF094DR Fridge 94 Liters Single Door 94 L Fridge 94ltr Refrigerator 94L Fridge - Silver (2YRs WRTY),14999.0,116.09
Hisense WSBE141 Twin Tub Washing Machine 14KG - White,37999.0,294.11
Hisense RC-56WS4SA Side By Side Fridge 441L - Silver,70499.0,545.66
"VON VRT-195DRHS Double Door Direct Cool Fridge - 195L, Dark Silver  (1YR WRTY)",29999.0,232.19
Router Wireless lte wifi modem Sim Card 4G Router MIFI pocket hotspot 10 WiFi users built-in battery portable WiFi,2599.0,20.12
"Osen lighting 2pcs LED Motorcycle Lights, Dual Color Driving Lights, 3 Lens Spotlights For SUV UTV - Black-switch on",1667.0,12.9
"MATIHO MATIHO Hair Clippers, Multifunctional Haircut Machine Electric Shavers for Home & Barber Use",248.0,1.92
"pisiduo Pisiduo Men's Quick-Drying Gradient Sports T-Shirt - Short Sleeve, Sizes M-XXXL",405.0,3.13
